AnimalGroup,Animal,Species,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,symptoms1_cluster,symptoms1_corrected,symptoms1_canonical,symptoms2_cluster,symptoms2_corrected,symptoms2_canonical,symptoms3_cluster,symptoms3_corrected,symptoms3_canonical,symptoms4_cluster,symptoms4_corrected,symptoms4_canonical,symptoms5_cluster,symptoms5_corrected,symptoms5_canonical
mammal,canid,hyaena,stop eating,stop drinking,change their normal behaviour,diarrhea,pains,yes,141,stop eating,stop eating,330,stop drinking,stop drinking,48,change their normal behaviour,change their normal behaviour,17,diarrhoea,diarrhea,394,pains,striving
bird,fowl,duck,fever,diffulty swallowing,excessive drooling,staggering,seizures,yes,175,fever,fever,2,difficulty swallowing,difficulty swallowing,21,excessive drooling,excessive drooling,390,staggering,stagger,60,seizures,seizure
bird,fowl,duck,fever,diarrhea,vomiting,weight loss,dehydration,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,35,dehydration,dehydration
bird,fowl,duck,fever,diarrhea,coughing,tiredness,pains,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,413,tiredness,fatigue,394,pains,striving
bird,fowl,duck,fever,diarrhea,coughing,vomiting,anorexia,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,268,vomiting,vomit,56,anorexia,anorexia
bird,fowl,duck,fever,difficulty breathing,coughing,lethargy,sneezing,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,86,coughing,cough,312,lethargy,lethargy,49,sneezing,sneeze
bird,fowl,duck,fever,diarrhea,coughing,lethargy,blue eye,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,312,lethargy,lethargy,62,blue eye,blue eye
bird,fowl,duck,fever,respiratory distress,seizuers,hyperesthesia,sudden death,yes,175,fever,fever,32,respiratory distress,respiratory distress,60,seizures,seizure,324,hyper thesis,hyper thesis,25,sudden death,sudden death
bird,fowl,duck,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,yes,257,ulcers,ulcer,17,diarrhoea,diarrhea,4,poor appetite,poor appetite,5,tarry stool,tarry stool,346,enlarged lymph nodes,enlarged lymph nodes
bird,fowl,duck,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,yes,7,facial swelling,facial swelling,419,bloody drool,bloody drool,172,foul breath,foul breath,2,unable to eat,unable to eat,411,lessened teeth,lessened teeth
bird,fowl,duck,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,304,christ and urination,christ and urination,185,weight loss,weight loss,346,enlarged lymph nodes or swelling,enlarged lymph nodes or swelling
bird,fowl,duck,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,yes,7,swelling on leg,swelling on leg,95,painful,painful,102,nasal discharge,nasal discharge,230,broken bones,broken bones,102,nasal discharge,nasal discharge
bird,fowl,duck,short term lethargy,loss of appetite,weekness in the back legs,rapid heart rate,week pulse,yes,312,short term lethargy,short term lethargy,4,loss of appetite,loss of appetite,71,weakness in the back legs,weakness in the back legs,138,rapid heart rate,rapid heart rate,130,week pulse,week pulse
bird,fowl,duck,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge,yes,346,swollen lymph nodes,swollen lymph nodes,90,difficulty walking,difficulty walking,82,back pain,back pain,312,lethargy,lethargy,102,vaginal discharge,vaginal discharge
bird,fowl,duck,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,yes,175,fever,fever,17,diarrhoea,diarrhea,149,abdominal pain,abdominal pain,140,stiffness,stiffness,46,severe weakness and depression,severe weakness and depression
bird,fowl,duck,fever,loss of appetite,reduce energy,lameness,swelling of joints,yes,175,fever,fever,4,loss of appetite,loss of appetite,386,reduce energy,reduce energy,51,lameness,lameness,7,swelling of joints,swelling of joints
bird,fowl,duck,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,yes,175,fever,fever,1,chronic eye inflammation,chronic eye inflammation,4,poor appetite,poor appetite,312,lethargy,lethargy,79,neurologic abnormalities,neurologic abnormalities
bird,fowl,duck,fever,swelling of face or leg,poor appetite,depression,pains,yes,175,fever,fever,7,swelling of face or leg,swelling of face or leg,4,poor appetite,poor appetite,43,depression,depression,394,pains,striving
bird,fowl,duck,diarrhea with muscus,tensemus,watery stool,flatulence,pains,yes,17,diarrhoea with mucus,diarrhoea with mucus,289,tense us,tense us,5,watery stool,watery stool,59,flatulence,flatulence,394,pains,striving
bird,fowl,duck,strong cough,runny nose,sneezing,lethargy,loss of appettite,yes,86,strong cough,strong cough,370,runny nose,runny nose,49,sneezing,sneeze,312,lethargy,lethargy,4,loss of appetite,loss of appetite
bird,fowl,duck,fever,inflammed eye,coughing,depression,limping,yes,175,fever,fever,1,inflamed eye,inflamed eye,86,coughing,cough,43,depression,depression,51,limping,lameness
bird,fowl,duck,fever,difficulty breathing,coughing,eye and skin change,unable to exercise,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,86,coughing,cough,101,eye and skin change,eye and skin change,111,unable to exercise,unable to exercise
bird,fowl,duck,fever,loss of appetite,coughing,lethargy,joint pain,yes,175,fever,fever,4,loss of appetite,loss of appetite,86,coughing,cough,312,lethargy,lethargy,80,joint pain,joint pain
bird,fowl,duck,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,yes,39,lesions in the nasal cavity,lesions in the nasal cavity,39,lesions on nose,lesions on nose,152,nose bleeds,nose bleeds,100,noisy breathing,noisy breathing,39,lesions on nose,lesions on nose
bird,fowl,duck,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,yes,403,hair loss,hair loss,112,dandruff,dandruff,77,darkened skin,darkened skin,110,crusting of the skin,crusting of the skin,257,ulcerated skin,ulcerated skin
bird,fowl,duck,greenish yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,yes,102,greenish yellow nasal discharge,greenish yellow nasal discharge,68,lack of pigmentation,lack of pigmentation,49,sneezing,sneeze,312,lethargy,lethargy,378,pain on face,pain on face
bird,fowl,duck,fever,diarrhea,poor appetite,weight loss,vomitting,yes,175,fever,fever,17,diarrhoea,diarrhea,4,poor appetite,poor appetite,185,weight loss,weight loss,268,vomiting,vomit
bird,fowl,duck,jaundice,pneumonia,lession on the skin,pain,vomitting,yes,236,jaundice,jaundice,213,pneumonia,pneumonia,145,session on the skin,session on the skin,95,pain,pain,268,vomiting,vomit
bird,fowl,duck,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,yes,217,poor coat appearance,poor coat appearance,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,35,dehydration,dehydration
bird,fowl,duck,watering,no appp,vomiting,lethargy,dehydration,yes,418,watering,lacrimation,272,no app,no app,268,vomiting,vomit,312,lethargy,lethargy,35,dehydration,dehydration
bird,fowl,duck,straining,diarrhea,vomiting,weight loss,blindness,yes,271,straining,strain,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,184,blindness,blindness
bird,fowl,duck,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,yes,41,upset stomach,upset stomach,17,diarrhoea,diarrhea,268,vomiting,vomit,38,muscle pain,muscle pain,140,muscle stiffness,muscle stiffness
bird,fowl,duck,upset stomach,diarrhea,coughing,weight loss,anaemia,yes,41,upset stomach,upset stomach,17,diarrhoea,diarrhea,86,coughing,cough,185,weight loss,weight loss,422,anaemia,anemia
bird,fowl,duck,allergic reaction,poor appetite,coughing,weight loss,distended chest,yes,368,allergic reaction,allergic reaction,4,poor appetite,poor appetite,86,coughing,cough,185,weight loss,weight loss,153,distended chest,distended chest
bird,fowl,duck,fever,anoxeria,weight loss,lethargy,pain,yes,175,fever,fever,56,anorexia,anorexia,185,weight loss,weight loss,312,lethargy,lethargy,95,pain,pain
bird,fowl,duck,limping,willnot run to jump,swelling,week legs,pain on leg,yes,51,limping,lameness,157,will not run to jump,will not run to jump,7,swelling,swelling,31,week legs,week legs,143,pain on leg,pain on leg
bird,fowl,duck,fever,eye ulcer,congestion,depression,pink eye,yes,175,fever,fever,1,eye ulcer,eye ulcer,307,congestion,congestion,43,depression,depression,62,pink eye,pink eye
bird,fowl,duck,pnemonia,loss of appetite,eye disharge,lameness,arthritis,yes,213,pneumonia,pneumonia,4,loss of appetite,loss of appetite,105,eye discharge,eye discharge,51,lameness,lameness,55,arthritis,arthritis
bird,fowl,duck,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,yes,175,fever,fever,60,seizures,seizure,404,hydrophobia,hydrophobia,425,jaw is dropped,jaw is dropped,437,shyness or aggression,shyness or aggression
bird,fowl,duck,bloody urine,diffculty breathing,vomiting,weight loss,anorexia,yes,27,bloody urine,bloody urine,9,difficulty breathing,difficulty breathing,268,vomiting,vomit,185,weight loss,weight loss,56,anorexia,anorexia
bird,fowl,duck,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,yes,4,loss of eat,loss of eat,9,difficulty in breathing,difficulty in breathing,7,swelling,swelling,51,lameness,lameness,79,neurologic abnormalities,neurologic abnormalities
bird,fowl,duck,dark or black face,diarrhea,vomiting,blood in faces,pain,yes,264,dark or black face,dark or black face,17,diarrhoea,diarrhea,268,vomiting,vomit,27,blood in faces,blood in faces,95,pain,pain
bird,fowl,duck,jaundice,difficulty in breathing,seizuers,lethargy,pale gums,yes,236,jaundice,jaundice,9,difficulty in breathing,difficulty in breathing,60,seizures,seizure,312,lethargy,lethargy,334,pale gums,pale gums
bird,fowl,duck,appetite varies,diarrhea,vomiting,weight loss,pain,yes,4,appetite varies,appetite varies,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,95,pain,pain
bird,fowl,duck,loss of eat,fell unwell,lethargy,weight loss,skin issue,yes,4,loss of eat,loss of eat,36,fell unwell,fell unwell,312,lethargy,lethargy,185,weight loss,weight loss,87,skin issue,skin issue
bird,fowl,duck,sickness,loss of appetite,vomiting,weight loss,raised growth or bump,yes,36,sickness,illness,4,loss of appetite,loss of appetite,268,vomiting,vomit,185,weight loss,weight loss,24,raised growth or bump,raised growth or bump
bird,fowl,duck,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,yes,152,nasal bleeding,nasal bleeding,2,difficulty chewing,difficulty chewing,7,swelling,swelling,185,weight loss,weight loss,56,anorexia,anorexia
bird,fowl,duck,ulcers,lesions,scabs,lumps,bumps black grey or red,yes,257,ulcers,ulcer,18,lesions,lesion,78,scabs,scab,281,lumps,ball,24,bumps black grey or red,bumps black grey or red
bird,fowl,duck,gasc,loss of appetite,blood in stool,stomach growling,black stool,yes,355,gas,gas,4,loss of appetite,loss of appetite,27,blood in stool,blood in stool,41,stomach growling,stomach growling,5,black stool,black stool
bird,fowl,duck,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,yes,196,shaking head,shaking head,337,scratching ear,scratching ear,423,black on ear,black on ear,142,bad smell,bad smell,69,red and inflammation ear,red and inflammation ear
bird,fowl,duck,attacks,loss of appetite,coughing,weight loss,periodic vommiting,yes,409,attacks,attack,4,loss of appetite,loss of appetite,86,coughing,cough,185,weight loss,weight loss,433,periodic vomiting,periodic vomiting
mammal,elephant,unknown,blood stool,diarrhea,coughing,weight loss,anemia,yes,27,blood stool,blood stool,17,diarrhoea,diarrhea,86,coughing,cough,185,weight loss,weight loss,422,anaemia,anemia
mammal,elephant,unknown,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,yes,102,nasal discharge,nasal discharge,152,nosebleeds,nosebleed,340,inflamed nostrils,inflamed nostrils,49,sneezing,sneeze,306,found breathing,found breathing
mammal,elephant,unknown,polyuria,loss of appetite,vomiting,weight loss,polydipsa,yes,269,poly ria,poly ria,4,loss of appetite,loss of appetite,268,vomiting,vomit,185,weight loss,weight loss,397,polydipsia,polydipsia
mammal,elephant,unknown,exessive urination,change in gait,vomiting,weight loss,inability to jump,yes,22,excessive urination,excessive urination,84,change in gait,change in gait,268,vomiting,vomit,185,weight loss,weight loss,157,inability to jump,inability to jump
mammal,elephant,unknown,convulsion,loss of consciousness,chewing,twitching,salivating,yes,168,convulsion,paroxysm,19,loss of consciousness,loss of consciousness,377,chewing,chew,223,twitching,twitch,21,salivating,salivate
mammal,elephant,unknown,wheezing,rapid breathing,coughing,swallowing,effort to breath,yes,320,wheezing,wheeze,9,rapid breathing,rapid breathing,86,coughing,cough,338,swallowing,swallow,9,effort to breath,effort to breath
mammal,elephant,unknown,jaundice,weekness,lethargy,weight loss,anorexia,yes,236,jaundice,jaundice,266,weakness,failing,312,lethargy,lethargy,185,weight loss,weight loss,56,anorexia,anorexia
mammal,elephant,unknown,lession on cat skin,dandruff in cat coat,red patches,hair loss,skin issue,yes,145,session on cat skin,session on cat skin,112,dandruff in cat coat,dandruff in cat coat,3,red patches,red patches,403,hair loss,hair loss,87,skin issue,skin issue
mammal,elephant,unknown,lethargy,diarrhea,vomiting,discharge from eye,anorexia,yes,312,lethargy,lethargy,17,diarrhoea,diarrhea,268,vomiting,vomit,105,discharge from eye,discharge from eye,56,anorexia,anorexia
mammal,elephant,unknown,skin irritation,scartching,lethargy,hair loss,excessive grooming,yes,87,skin irritation,skin irritation,375,scratching,scrape,312,lethargy,lethargy,403,hair loss,hair loss,270,excessive grooming,excessive grooming
mammal,elephant,unknown,floopy muscle,speech delay,intellectual disability,walking problem,eye movements,yes,297,floppy muscle,floppy muscle,367,speech delay,speech delay,314,intellectual disability,intellectual disability,90,walking problem,walking problem,202,eye movements,eye movements
mammal,elephant,unknown,sensitivity to bright light,disharge from affected eye,inflammation,clouded cornea,rubbing eye,yes,108,sensitivity to bright light,sensitivity to bright light,105,discharge from affected eye,discharge from affected eye,210,inflammation,inflammation,176,clouded cornea,clouded cornea,410,rubbing eye,rubbing eye
mammal,elephant,unknown,fever,diarrhea,vomiting,cramps,dehydration,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,98,cramps,spasm,35,dehydration,dehydration
mammal,elephant,unknown,tenderness,erythema,swelling,scartch,pain,yes,45,tenderness,tenderness,103,erythema,erythema,7,swelling,swelling,129,scratch,abrasion,95,pain,pain
mammal,elephant,unknown,fever,diarrhea,vomiting,salivation,decrease appetite,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,21,salivation,salivation,4,decrease appetite,decrease appetite
mammal,elephant,unknown,scaly patches of skin,sore,scabs,scartch,hair loss,yes,171,scaly patches of skin,scaly patches of skin,336,sore,sore,78,scabs,scab,129,scratch,abrasion,403,hair loss,hair loss
mammal,elephant,unknown,fatty stool,diarrhea,vomiting,weight loss,pain,yes,5,fatty stool,fatty stool,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,95,pain,pain
mammal,elephant,unknown,nausea,loss of appetite,vomiting,firm,distended stomach,yes,293,nausea,nausea,4,loss of appetite,loss of appetite,268,vomiting,vomit,339,firm,firm,153,distended stomach,distended stomach
mammal,elephant,unknown,fever,swelling in the bite area,lethargy,limp,pain,yes,175,fever,fever,7,swelling in the bite area,swelling in the bite area,312,lethargy,lethargy,265,limp,hitch,95,pain,pain
mammal,elephant,unknown,fever,loss of appetite,eyeproblem,liver disease,nuerological,yes,175,fever,fever,4,loss of appetite,loss of appetite,12,eye problem,eye problem,83,liver disease,liver disease,79,neurological,neurological
mammal,elephant,unknown,fever,mild sneezing,coughing,nasal,ocular discharge,yes,175,fever,fever,49,mild sneezing,mild sneezing,86,coughing,cough,352,nasal,nasal consonant,105,ocular discharge,ocular discharge
mammal,elephant,unknown,most often none,sneezing,nasal discharge,dyspnea,pain,yes,167,most often none,most often none,49,sneezing,sneeze,102,nasal discharge,nasal discharge,316,dyspnoea,dyspnea,95,pain,pain
mammal,elephant,unknown,fever,diarrhea,vomiting,blood from mouth,shock,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,27,blood from mouth,blood from mouth,229,shock,daze
mammal,elephant,unknown,discomfort,diarrhea,dry or dull hair,grinding teeth,pain,yes,45,discomfort,discomfort,17,diarrhoea,diarrhea,173,dry or dull hair,dry or dull hair,162,grinding teeth,grinding teeth,95,pain,pain
mammal,elephant,unknown,loss of appetite,swelling,nasal discharge,blindness,lethargy,yes,4,loss of appetite,loss of appetite,7,swelling,swelling,102,nasal discharge,nasal discharge,184,blindness,blindness,312,lethargy,lethargy
mammal,elephant,unknown,rhinitis,pneumonia,abscessess,torticollis,septicemia,yes,435,rhinitis,rhinitis,213,pneumonia,pneumonia,350,abscesses,abscess,6,torticollis,torticollis,27,septicaemia,blood poisoning
mammal,elephant,unknown,fever,diarrhea,enteritis,weight loss,stomach cramps,yes,175,fever,fever,17,diarrhoea,diarrhea,63,enteritis,enteritis,185,weight loss,weight loss,41,stomach cramps,stomach cramps
mammal,elephant,unknown,immediate death,difficulty in breathing,blue colored lip,bloody discharge,neurologic abnormalities,yes,25,immediate death,immediate death,9,difficulty in breathing,difficulty in breathing,400,blue coloured lip,blue coloured lip,27,bloody discharge,bloody discharge,79,neurologic abnormalities,neurologic abnormalities
mammal,elephant,unknown,fever,pox lession on skin,skin reashes,nasal discharge,mortality varies,yes,175,fever,fever,366,pox session on skin,pox session on skin,420,skin reaches,skin reaches,102,nasal discharge,nasal discharge,37,mortality varies,mortality varies
mammal,elephant,unknown,red on affected area,horny growth,wart like growth,red skin,lesions on ear,yes,3,red on affected area,red on affected area,34,horny growth,horny growth,310,wart like growth,wart like growth,77,red skin,red skin,39,lesions on ear,lesions on ear
mammal,elephant,unknown,fever,chills,skin ulcer,exhaustion,swollen and painfull,yes,175,fever,fever,359,chills,chill,87,skin ulcer,skin ulcer,413,exhaustion,exhaustion,7,swollen and painful,swollen and painful
mammal,elephant,unknown,watering diarrhea,depression,emaciation,ruffled coat,lethargy,yes,17,watering diarrhoea,watering diarrhoea,43,depression,depression,148,emaciation,bonyness,195,ruffled coat,ruffled coat,312,lethargy,lethargy
mammal,elephant,unknown,loss in weight,emaciation,loss of appetite,weakness,diarrhoea,yes,185,loss in weight,loss in weight,148,emaciation,bonyness,4,loss of appetite,loss of appetite,266,weakness,failing,17,diarrhoea,diarrhea
mammal,elephant,unknown,loss of appetite,diarrhea,swollen purple wattle,swollen comb,lameness,yes,4,loss of appetite,loss of appetite,17,diarrhoea,diarrhea,387,swollen purple wattle,swollen purple wattle,92,swollen comb,swollen comb,51,lameness,lameness
mammal,elephant,unknown,loss of appetite,diarrhea,ruffled feathers,weight loss,inability to absorb nutrients,yes,4,loss of appetite,loss of appetite,17,diarrhoea,diarrhea,195,ruffled feathers,ruffled feathers,185,weight loss,weight loss,2,inability to absorb nutrients,inability to absorb nutrients
mammal,elephant,unknown,egg production decreases,stunted growth,blindness,distinctive bumps,facial swelling,yes,104,egg production decreases,egg production decreases,34,stunted growth,stunted growth,184,blindness,blindness,24,distinctive bumps,distinctive bumps,7,facial swelling,facial swelling
mammal,elephant,unknown,loss of appetite,thirst,ruffled feathers,closed eyes,diarrhea,yes,4,loss of appetite,loss of appetite,35,thirst,thirst,195,ruffled feathers,ruffled feathers,160,closed eyes,closed eyes,17,diarrhoea,diarrhea
mammal,elephant,unknown,fever,weakened legs,los of the ability to walk,mammary glads,fluif filled blisters,yes,175,fever,fever,31,weakened legs,weakened legs,135,los of the ability to walk,los of the ability to walk,431,mammary glads,mammary glads,218,fluid filled blisters,fluid filled blisters
mammal,elephant,unknown,fever,weakened legs,los of the ability to walk,weight loss,lameness,yes,175,fever,fever,31,weakened legs,weakened legs,135,los of the ability to walk,los of the ability to walk,185,weight loss,weight loss,51,lameness,lameness
mammal,elephant,unknown,abortion at the end of gestation,fatigue,weak calves,join pains,swelling of internal organs,yes,76,abortion at the end of gestation,abortion at the end of gestation,413,fatigue,fatigue,31,weak calves,weak calves,408,join pains,join pains,7,swelling of internal organs,swelling of internal organs
mammal,elephant,unknown,swollen,red colored,hot udder,milk getting out more watery,milk getting out more thick,yes,331,swollen,swell,151,red coloured,red coloured,249,hot udder,hot udder,73,milk getting out more watery,milk getting out more watery,73,milk getting out more thick,milk getting out more thick
mammal,elephant,unknown,fever,distress,trembling,staggering,convulsion,yes,175,fever,fever,43,distress,distress,196,trembling,shaking,390,staggering,stagger,168,convulsion,paroxysm
mammal,elephant,unknown,fever,animal become lame,prostrat,painfull swalling,lameness,yes,175,fever,fever,349,animal become lame,animal become lame,0,prostrate,prostrate,7,painful swelling,painful swelling,51,lameness,lameness
mammal,elephant,unknown,fever,difficulty in breathing,dribbling of saliva,inability of swalllon feeding,moist and painfull,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,21,dribbling of saliva,dribbling of saliva,2,inability of swallow feeding,inability of swallow feeding,285,moist and painful,moist and painful
mammal,elephant,unknown,fluif faeces on blood and muscle,sudden death,blooody fluid,red diarrhea,faeces are streake with blood,yes,16,fluid faeces on blood and muscle,fluid faeces on blood and muscle,25,sudden death,sudden death,27,bloody fluid,bloody fluid,17,red diarrhoea,red diarrhoea,16,faeces are streak with blood,faeces are streak with blood
mammal,elephant,unknown,fever,pneumonia,stand with head droping,weight loss,abnormal behaviour,yes,175,fever,fever,213,pneumonia,pneumonia,277,stand with head dropping,stand with head dropping,185,weight loss,weight loss,342,abnormal behaviour,abnormal behaviour
mammal,elephant,unknown,fever,slightly swollen,lession on the skin,milky hard,papules appear on teats anad udder,yes,175,fever,fever,93,slightly swollen,slightly swollen,145,session on the skin,session on the skin,246,milky hard,milky hard,325,papules appear on teats and udder,papules appear on teats and udder
mammal,elephant,unknown,fever,dull,hind quarted soil,animal stop feed,decrease in milk production,yes,175,fever,fever,67,dull,dull,50,hind quarter soil,hind quarter soil,252,animal stop feed,animal stop feed,97,decrease in milk production,decrease in milk production
mammal,elephant,unknown,severe,diarrhea,blood on faces,appetite,milk reduce,yes,262,severe,severe,17,diarrhoea,diarrhea,27,blood on faces,blood on faces,4,appetite,appetite,97,milk reduce,milk reduce
mammal,elephant,unknown,fever,depression,relunctance to move,salivation,nasal discharge,yes,175,fever,fever,43,depression,depression,120,reluctance to move,reluctance to move,21,salivation,salivation,102,nasal discharge,nasal discharge
mammal,elephant,unknown,normal appetite,diarrhea,swelling may occur under jaw,weight loss,drop in milk production,yes,4,normal appetite,normal appetite,17,diarrhoea,diarrhea,7,swelling may occur under jaw,swelling may occur under jaw,185,weight loss,weight loss,97,drop in milk production,drop in milk production
mammal,elephant,unknown,swelling on leg,heat,hardness,redness,pain,yes,7,swelling on leg,swelling on leg,438,heat,heat,292,hardness,hardness,210,redness,inflammation,95,pain,pain
mammal,elephant,unknown,inability to stand,diarrhea,bottle jaw,pot belly,dry hair coat,yes,169,inability to stand,inability to stand,17,diarrhoea,diarrhea,183,bottle jaw,bottle jaw,136,pot belly,pot belly,40,dry hair coat,dry hair coat
mammal,elephant,unknown,excitability,nervousness,loss of appetite,hyper sensitivity,weakness,yes,389,excitability,excitability,72,nervousness,jitteriness,4,loss of appetite,loss of appetite,108,hyper sensitivity,hyper sensitivity,266,weakness,failing
mammal,elephant,unknown,fever,depression,attack,bite other animals,pain,yes,175,fever,fever,43,depression,depression,409,attack,attack,357,bite other animals,bite other animals,95,pain,pain
mammal,rodent,hamster,fever,difficulty in breathing,coughing,painfull,eye become dull,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,86,coughing,cough,95,painful,painful,20,eye become dull,eye become dull
mammal,rodent,hamster,fever,ulcer on gum,red eye,yellowish discharge,bloody diarrhea,yes,175,fever,fever,26,ulcer on gum,ulcer on gum,62,red eye,red eye,102,yellowish discharge,yellowish discharge,17,bloody diarrhoea,bloody diarrhoea
mammal,rodent,hamster,fever,diarrhea,coughing,consistency of milk,pain,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,73,consistency of milk,consistency of milk,95,pain,pain
mammal,rodent,hamster,animal gets uneasy,difficulty in breathing,difficult in respiration,excessive production,stamping and pedding of hind eye,yes,360,animal gets uneasy,animal gets uneasy,9,difficulty in breathing,difficulty in breathing,9,difficult in respiration,difficult in respiration,417,excessive production,excessive production,351,stamping and wedding of hind eye,stamping and wedding of hind eye
mammal,rodent,hamster,fever,chills,severe colic,weakness,anorexia,yes,175,fever,fever,359,chills,chill,58,severe colic,severe colic,266,weakness,failing,56,anorexia,anorexia
mammal,rodent,hamster,fever,body stiffness,lethargy,severe inflammation,pain,yes,175,fever,fever,140,body stiffness,body stiffness,312,lethargy,lethargy,210,severe inflammation,severe inflammation,95,pain,pain
mammal,rodent,hamster,sickness,diarrhea,weight loss,nausea,dehydration,yes,36,sickness,illness,17,diarrhoea,diarrhea,185,weight loss,weight loss,293,nausea,nausea,35,dehydration,dehydration
mammal,rodent,hamster,sudden death,trouble walking,paralysis,depression,convulsion,yes,25,sudden death,sudden death,90,trouble walking,trouble walking,13,paralysis,paralysis,43,depression,depression,168,convulsion,paroxysm
mammal,rodent,hamster,fever,abortion,kidney failure,inflammation of eye,eye redness,yes,175,fever,fever,76,abortion,abortion,208,kidney failure,kidney failure,1,inflammation of eye,inflammation of eye,206,eye redness,eye redness
mammal,rodent,hamster,small red bumps,pneumonia,septic arthritis,skin infection,pain,yes,24,small red bumps,small red bumps,213,pneumonia,pneumonia,55,septic arthritis,septic arthritis,87,skin infection,skin infection,95,pain,pain
mammal,rodent,hamster,fever,ataxia,aggressiveness,depression,obscure lameness,yes,175,fever,fever,56,ataxia,ataxia,116,aggressiveness,aggressiveness,43,depression,depression,51,obscure lameness,obscure lameness
bird,fowl,unknown,ring shaped lesion,round patches,dry skin,size of lesions vary,pain,yes,18,ring shaped lesion,ring shaped lesion,89,round patches,round patches,144,dry skin,dry skin,288,size of lesions vary,size of lesions vary,95,pain,pain
bird,fowl,unknown,fever,diarrhea,loss of appetite,colic,weakness,yes,175,fever,fever,17,diarrhoea,diarrhea,4,loss of appetite,loss of appetite,58,colic,colic,266,weakness,failing
bird,fowl,unknown,fever,depression,loss of appetite,stumbling,ataxia,yes,175,fever,fever,43,depression,depression,4,loss of appetite,loss of appetite,250,stumbling,stumble,56,ataxia,ataxia
bird,fowl,unknown,bubbles in the mouth,wheezing,loss of appetite,lethargy,nasal discharge,yes,388,bubbles in the mouth,bubbles in the mouth,320,wheezing,wheeze,4,loss of appetite,loss of appetite,312,lethargy,lethargy,102,nasal discharge,nasal discharge
bird,fowl,unknown,changes in outer layer skin,swelling of eye,loss of appetite,lethargy,respiratory infection,yes,110,changes in outer layer skin,changes in outer layer skin,7,swelling of eye,swelling of eye,4,loss of appetite,loss of appetite,312,lethargy,lethargy,32,respiratory infection,respiratory infection
bird,fowl,unknown,red tinge,slim over the shell,bad smell,easily damage shell,flaking of the scutes,yes,3,red tinge,red tinge,326,slim over the shell,slim over the shell,142,bad smell,bad smell,373,easily damage shell,easily damage shell,280,flaking of the scutes,flaking of the scutes
bird,fowl,unknown,passing of undigested food,diarrhea,vomiting,gas or bloating,dehydration,yes,10,passing of undigested food,passing of undigested food,17,diarrhoea,diarrhea,268,vomiting,vomit,94,gas or bloating,gas or bloating,35,dehydration,dehydration
bird,fowl,unknown,smell,diarrhea,loss of appetite,excess sleeping,folded ears,yes,142,smell,smell,17,diarrhoea,diarrhea,4,loss of appetite,loss of appetite,392,excess sleeping,excess sleeping,15,folded ears,folded ears
bird,fowl,unknown,loss of activity,rough coat,loss of appetite,weight loss,eventually death,yes,19,loss of activity,loss of activity,40,rough coat,rough coat,4,loss of appetite,loss of appetite,185,weight loss,weight loss,25,eventually death,eventually death
bird,fowl,unknown,fever,diarrhea,vomiting,dehydration,pain,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,35,dehydration,dehydration,95,pain,pain
